max_p,max_n,valence_p,valence_n,valence_reg,valence,valence_score,valence_score_median,valence_relative,valence_relative_bin,subject
1.0,3.0,1.0,2.0,-1.0,1,1.0,-1.1666666666666667,2.166666666666667,1,DND1074
3.0,1.0,2.6666666666666665,1.0,1.6666666666666663,0,-1.6666666666666663,-1.6666666666666667,2.220446049250313e-16,1,DND1013
3.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0,-1.3333333333333333,-1.3333333333333333,0.0,1,DND1092
5.0,1.0,4.0,1.0,3.0,0,-3.0,-3.0,0.0,1,1037
5.0,1.0,4.0,1.0,3.0,0,-3.0,-2.833333333333333,-0.16666666666666696,0,1030
3.0,1.0,2.6666666666666665,1.0,1.6666666666666663,0,-1.6666666666666663,-1.3333333333333337,-0.33333333333333304,0,1066
3.0,2.0,2.333333333333333,1.6666666666666667,0.6666666666666667,0,-0.6666666666666667,-1.3333333333333333,0.6666666666666665,1,1081
4.0,3.0,2.6666666666666665,1.6666666666666667,0.9999999999999998,0,-0.9999999999999998,-0.9999999999999998,0.0,1,1073
5.0,1.0,4.666666666666667,1.0,3.666666666666667,0,-3.666666666666667,-2.1666666666666665,-1.5000000000000004,0,DND1005
4.0,2.0,3.333333333333333,1.3333333333333333,2.0,0,-2.0,-1.3333333333333333,-0.6666666666666667,0,DND1092
4.0,4.0,3.333333333333333,2.0,1.3333333333333337,1,-1.3333333333333337,-2.6666666666666665,1.333333333333333,1,DND1019
4.0,2.0,2.333333333333333,1.3333333333333333,1.0000000000000002,0,-1.0000000000000002,0.16666666666666674,-1.166666666666667,0,DND1029
4.0,3.0,2.6666666666666665,1.6666666666666667,0.9999999999999998,0,-0.9999999999999998,-0.6666666666666667,-0.33333333333333304,0,DND1034
3.0,2.0,2.0,1.6666666666666667,0.3333333333333333,0,-0.3333333333333333,-1.0000000000000002,0.666666666666667,1,1008
4.0,4.0,2.6666666666666665,3.0,-0.3333333333333335,1,0.3333333333333335,-0.16666666666666652,0.5,1,DND1077
4.0,1.0,3.333333333333333,1.0,2.333333333333333,0,-2.333333333333333,-2.0,-0.3333333333333335,0,1087
5.0,1.0,3.6666666666666665,1.0,2.6666666666666665,0,-2.6666666666666665,-2.0,-0.6666666666666665,0,DND1007
2.0,3.0,1.6666666666666667,2.0,-0.3333333333333333,1,0.3333333333333333,-1.3333333333333333,1.6666666666666663,1,DND1105
3.0,2.0,2.333333333333333,1.6666666666666667,0.6666666666666667,0,-0.6666666666666667,-0.9999999999999998,0.33333333333333304,1,1073
5.0,1.0,4.333333333333333,1.0,3.333333333333333,0,-3.333333333333333,-2.6666666666666665,-0.6666666666666665,0,DND1019
4.0,1.0,3.0,1.0,2.0,0,-2.0,-1.6666666666666667,-0.3333333333333333,0,DND1099
2.0,2.0,1.6666666666666667,1.6666666666666667,0.0,1,0.0,-1.3333333333333333,1.3333333333333333,1,1021
4.0,4.0,3.0,2.0,1.0,1,-1.0,-2.0,0.9999999999999998,1,DND1065
5.0,3.0,3.333333333333333,1.6666666666666667,1.6666666666666667,0,-1.6666666666666667,-2.333333333333333,0.6666666666666663,1,DND1031
4.0,1.0,3.333333333333333,1.0,2.333333333333333,0,-2.333333333333333,-1.3333333333333333,-1.0000000000000002,0,1080
3.0,2.0,2.0,1.3333333333333333,0.6666666666666667,0,-0.6666666666666667,-0.6666666666666667,0.0,1,DND1034
4.0,3.0,2.6666666666666665,1.6666666666666667,0.9999999999999998,0,-0.9999999999999998,-0.9999999999999998,0.0,1,1073
4.0,2.0,3.333333333333333,1.3333333333333333,2.0,0,-2.0,-1.3333333333333333,-0.6666666666666667,0,DND1090
4.0,1.0,2.6666666666666665,1.0,1.6666666666666663,0,-1.6666666666666663,-1.8333333333333333,0.16666666666666674,1,DND1043
3.0,4.0,1.6666666666666667,2.333333333333333,-0.6666666666666667,1,0.6666666666666667,0.16666666666666674,0.5,1,DND1029
4.0,2.0,3.333333333333333,2.0,1.3333333333333337,0,-1.3333333333333337,-1.1666666666666667,-0.16666666666666674,0,DND1027
4.0,3.0,3.333333333333333,1.6666666666666667,1.6666666666666667,0,-1.6666666666666667,-2.333333333333333,0.6666666666666663,1,DND1119
3.0,1.0,2.333333333333333,1.0,1.3333333333333337,0,-1.3333333333333337,-1.3333333333333337,0.0,1,1066
3.0,4.0,2.6666666666666665,3.0,-0.3333333333333335,1,0.3333333333333335,-1.333333333333333,1.6666666666666663,1,DND1100
3.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0,-1.3333333333333333,-2.0,0.6666666666666667,1,DND1039
3.0,2.0,2.333333333333333,1.3333333333333333,1.0000000000000002,0,-1.0000000000000002,-1.3333333333333333,0.33333333333333304,1,DND1040
4.0,3.0,3.333333333333333,2.0,1.3333333333333337,0,-1.3333333333333337,-1.6666666666666667,0.3333333333333333,1,DND1021
5.0,1.0,4.333333333333333,1.0,3.333333333333333,0,-3.333333333333333,-1.3333333333333333,-2.0,0,1024
3.0,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0,-1.3333333333333333,-1.6666666666666667,0.3333333333333335,1,DND1013
